region,population,parent,Quality,Altcountryname,ISO3166_NUTS
Diamond Princess,3500,-,,,
Diamond Princess,3200,-,,,
Holy See,801,-,,Vatican City,
MS Zaandam,3500,-,,,
Algeria,42228429,Africa,,,
Angola,30809762,Africa,,,
Benin,11485048,Africa,,,
Botswana,2254126,Africa,,,
Burkina Faso,19751535,Africa,,,
Burundi,11175378,Africa,,,
Cabo Verde,543767,Africa,,,
Cameroon,25216237,Africa,,,
Central African Republic,4666377,Africa,,,
Chad,15477751,Africa,,,
Congo (Brazzaville),5244363,Africa,,,
Congo (Kinshasa),84068091,Africa,,,
Cote d'Ivoire,25069229,Africa,,Ivory Coast,
Djibouti,958920,Africa,,,
Egypt,98423595,Africa,Under reporting due to political pressure,,
Equatorial Guinea,1308974,Africa,,,
Eritrea,3214000,Africa,,,
Eswatini,1136191,Africa,,,
Ethiopia,109224559,Africa,,,
Gabon,2119275,Africa,,,
Gambia,2416668,Africa,,,
Ghana,29767108,Africa,,,
Guinea,12414318,Africa,,,
Guinea-Bissau,1874309,Africa,,,
Kenya,51393010,Africa,,,
Liberia,4818977,Africa,,,
Libya,6678567,Africa,,Palestine,
Madagascar,26262368,Africa,,,
Malawi,18143315,Africa,,,
Maldives,515696,Africa,,,
Mali,19077690,Africa,,,
Mauritania,4403319,Africa,,,
Mauritius,1265303,Africa,,,
Mayotte,272815,Africa,,,
Morocco,36029138,Africa,,,
Mozambique,29495962,Africa,,,
Namibia,2448255,Africa,,,
Niger,22442948,Africa,,,
Nigeria,195874740,Africa,,,
Rwanda,12301939,Africa,,,
Sao Tome and Principe,211028,Africa,,,
Senegal,15854360,Africa,,,
Seychelles,96762,Africa,,,
Sierra Leone,7650154,Africa,,,
Somalia,15008154,Africa,,,
South Africa,57779622,Africa,,,
South Sudan,10975920,Africa,,,
Sudan,41801533,Africa,,,
Tanzania,56318348,Africa,,,
Togo,7889094,Africa,,,
Tunisia,11565204,Africa,,,
Uganda,42723139,Africa,,,
Western Sahara,594500,Africa,,,
Zambia,17351822,Africa,,,
Zimbabwe,14439018,Africa,,,
World,7800000000,All,,,
Afghanistan,37172386,Asia,,,
Azerbaijan,9942334,Asia,,,
Bahrain,1569439,Asia,,,
Bangladesh,161356039,Asia,,,
Bhutan,754394,Asia,,,
Brunei,428962,Asia,,,
Burma,53710000,Asia,,,
Cambodia,16249798,Asia,,,
China,1392730000,Asia,,,
Hong Kong,7451000,Asia,,,
India,1352617328,Asia,,,
Indonesia,267663435,Asia,,,
Iran,81800269,Asia,Under reporting due to political pressure,,
Iraq,38433600,Asia,,,
Israel,8883800,Asia,,,
Japan,126529100,Asia,,,
Jordan,9956011,Asia,,,
Kazakhstan,18276499,Asia,,,
Korea,51635256,Asia,,,
Korea South,51635256,Asia,,,
Kuwait,4137309,Asia,,,
Kyrgyzstan,6524195,Asia,,,
La Réunion,895312,Asia,,,FR_LRE
Laos,7275560,Asia,,,
Lebanon,6848925,Asia,,,
Malaysia,31528585,Asia,,,
Mongolia,3170208,Asia,,,
Nepal,28087871,Asia,,,
Oman,4829483,Asia,,,
Pakistan,212215030,Asia,,,
Philippines,106651922,Asia,,,
Qatar,2781677,Asia,,,
Reunion,895312,Asia,,,
Saudi Arabia,33699947,Asia,,,
Singapore,5638676,Asia,,,
South Korea,51635256,Asia,,,
Sri Lanka,21670000,Asia,,,
Syria,17500658,Asia,,,
Taiwan,23780000,Asia,,,
Thailand,69428524,Asia,,,
Timor-Leste,1267972,Asia,,East-Timor,
United Arab Emirates,9630959,Asia,,UAE,
Uzbekistan,32955400,Asia,,,
Vietnam,95540395,Asia,,,
West Bank and Gaza,4569087,Asia,,,
Yemen,28500000,Asia,,,
Australian Capital Territory,426709,Australia,,,
New South Wales,8089526,Australia,,,
Northern Territory,245869,Australia,,,
Queensland,5095100,Australia,,,
South Australia,1751693,Australia,,,
Tasmania,534281,Australia,,,
Victoria,6594804,Australia,,,
Western Australia,2621680,Australia,,,
Burgenland,294466,Austria,,,
Kärnten,561390,Austria,,,
Niederösterreich,1684623,Austria,,,
Oberösterreich,1490392,Austria,,,
Salzburg,558479,Austria,,,
Steiermark,1246576,Austria,,,
Tirol,757852,Austria,,,
Vorarlberg,397094,Austria,,,
Wien,1911728,Austria,,,
Antwerp,1860470,Belgium,,Anver,BE21
Brussels,1215290,Belgium,,Bruxelles,BE1
East Flanders,1516283,Belgium,,Oost-Vlaanderen,BE23
Flemish Brabant,1146643,Belgium,,Vlaams-Brabant,BE24
Hainaut,1346082,Belgium,,Henegouwen,BE32
